Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1626870248.2265475,0,1626870248,226453458,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.2265697,1,1626870248,226519435,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.251615,2,1626870248,251533705,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.2765768,3,1626870248,276487910,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.3015723,4,1626870248,301511095,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.3266106,5,1626870248,326534027,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.3516076,6,1626870248,351534611,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.3766005,7,1626870248,376535642,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.4016528,8,1626870248,401584840,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.426602,9,1626870248,426536733,world,-0.08350608253096863,-0.09776131606006166,-0.07207417588512843,-0.05878949030751861,0.0371309532969329,0.20502929798509195
1626870248.4516022,10,1626870248,451543594,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.4765925,11,1626870248,476534338,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.5016243,12,1626870248,501548567,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.5265973,13,1626870248,526534421,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.551601,14,1626870248,551534817,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.5765934,15,1626870248,576535007,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.6016133,16,1626870248,601537022,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.6266186,17,1626870248,626535493,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.6516142,18,1626870248,651536584,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.6766095,19,1626870248,676535098,world,-0.07368275980459232,-0.09365914819853041,-0.08412645539404706,-0.09730186226940025,0.05853604088290542,0.16137539442500334
1626870248.7016113,20,1626870248,701536234,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.7265763,21,1626870248,726511127,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.7516062,22,1626870248,751534432,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.7765958,23,1626870248,776531971,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.8015957,24,1626870248,801532330,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.8266013,25,1626870248,826533275,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.8516176,26,1626870248,851531958,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.8765936,27,1626870248,876534217,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.9015987,28,1626870248,901534223,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.9266024,29,1626870248,926533264,world,-0.07274229326905528,-0.09322564697986463,-0.08533524017866978,-0.10108021536333983,0.06051188715606928,0.1570387655720272
1626870248.9516194,30,1626870248,951536629,world,-0.06788399492889712,-0.09083001290950884,-0.09157089594540135,-0.10083807128339399,0.05883237159079618,0.1343628972909257
1626870248.9766145,31,1626870248,976544971,world,-0.06788399492889712,-0.09083001290950884,-0.09157089594540135,-0.10083807128339399,0.05883237159079618,0.1343628972909257
1626870249.0016031,32,1626870249,1532650,world,-0.06788399492889712,-0.09083001290950884,-0.09157089594540135,-0.10083807128339399,0.05883237159079618,0.1343628972909257
1626870249.026595,33,1626870249,26533103,world,-0.06788399492889712,-0.09083001290950884,-0.09157089594540135,-0.10083807128339399,0.05883237159079618,0.1343628972909257
