Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,position_2,position_3,position_4,position_5,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5
1626870224.049378,1503,1626870224,49021121,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.074354,1504,1626870224,73998195,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.0992138,1505,1626870224,99017927,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.1243496,1506,1626870224,124013605,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.1496155,1507,1626870224,149019134,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.1745496,1508,1626870224,174006071,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.1994686,1509,1626870224,199016729,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.224383,1510,1626870224,224013663,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.249346,1511,1626870224,249056367,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.2745852,1512,1626870224,274018737,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.299731,1513,1626870224,299017160,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1626870224.3246815,1514,1626870224,324018072,,"['lwa4p_joint1', 'lwa4p_joint2', 'lwa4p_joint3', 'lwa4p_joint4', 'lwa4p_joint5', 'lwa4p_joint6']",-1.9898673334912549,0.7611904466722869,1.37579068946957,3.490658503988659e-05,-0.4099080281233882,-1.1099595910983138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
